red;красный;She's wearing red.;Она одета в красное.
mention;упоминать;Don't even mention it.;Даже не упоминай об этом.
thus;следовательно, таким образом;Thus, the tyrant succeeded in conquering the kingdom.;Таким образом, тирану удалось захватить королевство.
plant;растение, сажать;Plant a tree over here.;Посади дерево вон там.
movement;движение;Squirrels are quick of movement.;Белки двигаются быстро.
scene;сцена;I'm imagining that scene.;Я представляю себе эту сцену.
section;часть, отдел, раздел;Skip that section.;Пропустите этот раздел.
treatment;лечение, обращение;The treatment is going successfully.;Лечение идёт успешно.
wish;желать;As you wish.;Как пожелаете.
benefit;выгода;Yoga has many health benefits.;Йога даёт много пользы для здоровья.
interesting;интересный ;It seems interesting.;Выглядит интересно.
west;запад;The giraffe herd headed West.;Стадо жирафов направилось на запад.
candidate;кандидат;What candidate should I vote for?;За какого кандидата мне голосовать?
approach;подход;I suggest a different approach.;Я предлагаю другой подход.
determine;определять;We weren't able to determine her whereabouts.;Мы не смогли определить её местонахождение.
resource;ресурсы;Time is the most valuable resource a person possesses.;Время – ценнейший ресурс, которым владеет человек.
claim;утверждать, требовать;Fight oppression, claim your freedom.;Борись с угнетением, требуй свободу.
prove;доказывать;That doesn't prove anything.;Это ничего не доказывает.
sort;сортировать, тип, разновидность;This sort of thing happens.;Такого рода вещи случаются.
size;размер;What size are you?;Какой у тебя размер?
somebody;кто-то;Somebody just called.;Кто-то только что звонил.
knowledge;знания;I get knowledge by reading books.;Я получаю знания, читая книги.
rather;довольно, до некоторой степени, скорее;That is rather unexpected.;Это довольно неожиданно.
hang;вешать;Clouds hang in the air.;Облака висят в воздухе.
sport;спорт;Sport knows no borders.;Спорт не знает границ.
TV;телевизор, телевидение;Don't watch TV.;Не смотри телевизор.
loss;потеря;Tom's diet resulted in weight loss.;Диета Тома привела к потере веса.
argue;спорить;Some people argue just for the sake of arguing.;Некоторые люди спорят только для того, чтобы спорить.
left;левый;We left together.;Мы ушли вместе.
meeting;совещание, встреча;The meeting was canceled.;Встреча была отменена.
skill;навык, мастерство;Fluency in English is a very marketable skill today.;Свободное владение английским сейчас очень востребованный навык.
card;карта;Please insert your card.;Пожалуйста, вставьте карту.
feeling;чувство;I'm feeling tired.;Я чувствую себя уставшим.
despite;несмотря на;He succeeded, despite the difficulties.;Он преуспел, несмотря на трудности.
degree;степень, градус;She received a doctor's degree.;Она получила докторскую степень.
crime;преступление;It's not a crime.;Это не преступление.
sign;подпись, знак;Just sign here.;Просто подпишите здесь.
occur;происходить, приходить на ум;Did it not occur to you to close the windows?;Тебе не пришло в голову закрыть окна?
imagine;воображать;Can you imagine that?;Можешь себе это представить?
near;близкий, около;Don't stand near me.;Не стой рядом со мной.
king;корольь;The king is ill.;Король болен.
box;коробка, бокс;The box is empty.;Коробка пуста.
present;настоящее, дарить, подарок;Choose a present carefully.;Выбирай подарок тщательно.
seven;семь;Seven dollars, please.;Семь долларов, пожалуйста.
foreign;иностранный;We encourage foreign investment.;Мы поощряем иностранные инвестиции.
laugh;смеяться;Don't make me laugh.;Не смеши меня.
disease;заболевание;Doctors are fighting against disease.;Врачи борются с болезнью.
lady;дама, леди;Not so fast, young lady!;Не так быстро, юная леди!
beyond;за пределами,;It's beyond my comprehension.;Это за гранью моего понимания.
discuss;обсуждать;Let's discuss this later.;Давайте обсудим это позже.
finish;заканчивать;Let him finish.;Позвольте ему закончить.
design;проектирование, проектировать, дизайн;What a beautiful design!;Какой красивый дизайн!
concern;беспокойство, беспокоить, затрагивать;Thanks for your concern.;Спасибо за беспокойство.
ball;мяч;Catch the ball.;Лови мяч.
east;восток;The moon rises in the east.;Луна восходит на востоке.
recognize;признавать, осознавать;I didn't recognize you.;Я тебя не узнал.
apply;обращаться с заявлением, касаться, применять;Rules apply to everyone.;Правила касаются всех.
prepare;готовиться, готовить;Prepare for combat.;Готовьтесь к бою.
network;сеть;Their job is to connect the computers to the network.;Их работа — подключать компьютеры к сети.
huge;огромный;The demand is huge.;Спрос огромен.
success;успех;Careful preparations ensure success.;Внимательная подготовка гарантирует успех.
district;район, квартал;This district is notorious for air pollution.;Этот район печально знаменит загрязнением воздуха.
cup;чашка;Have another cup.;Выпей ещё чашечку.
physical;физический;He's in good physical condition.;Он в хорошей физической форме.
growth;рост;More money for education will spur economic growth.;Больше денег на образование будет стимулировать экономический рост.
rise;подниматься, увеличиваться;Prices continued to rise.;Цены продолжили расти.
hi;привет;Hi, everybody!;Всем привет!
standard;стандарт, стандартный;It's standard procedure.;Это стандартная процедура.
fan;вентилятор, фанат;The fan is making noise.;Вентилятор шумит.
theory;теория;That's an interesting theory.;Это интересная теория.
staff;персонал;Staff members only.;Вход только для персонала.
hurt;причинить боль, ранить;Tom was hurt.;Том был ранен.
legal;правовой, законный;I know my legal rights.;Я знаю свои законные права.
September;сентябрь;Thirty days has September, April, June and November.;Тридцать дней бывает в сентябре, апреле, июне и ноябре.
outside;снаружи, наружний;It's raining outside.;Снаружи идёт дождь.
strategy;стратегия;We need a new strategy.;Нам нужна новая стратегия.
clearly;ясно, очевидно;It is clearly inevitable.;Это, очевидно, неизбежно.
