laptop;ноутбук;Do you have your laptop with you?;У тебя ноутбук с собой?
webcam;вебкамера;I have a built-in webcam.;У меня встроенная веб-камера.
tablet;планшет;The new tablet costs a fortune.;Новый планшет стоит целое состояние.
invention;изобретение;His invention is brilliant!;Его изобретение гениально!
freemium;фремиум;Freemium is a pricing strategy by which a basic product is provided free of charge;Фримиум - это ценовая стратегия, когда базовый продукт предоставляется бесплатно.
wireless;беспроводной;Overall I'm quite satisfied with this gamepad.;В целом я удовлетворем этим беспроводным геймпадом.
headset;наушники;Mary took off her headset.;Мэри сняла наушники.
select;выбирать;Select the correct answer!;Выберите правильный ответ.
command line;командная строка;Do you know how to use these command line tools?;Вы знаете, как использовать эти средства командной строки?
team;команда;Which team are you on?;В какой ты команде?
taskbar;панель задач;Use the taskbar.;Используйте панель задач.
capacity;емкость;This elevator's capacity is ten people.;Этот лифт вмещает десять человек.
enter;ввод;Enter your password.;Введите пароль.
open;открыть;What did you open it with?;Чем ты её открыла?
privacy policy;политика конфиденциальности;Our privacy policy describes the information we collect and how we use it.;Наша политика конфиденциальности описывает информацию, которую мы собираем, и то, как мы её используем.
scalability;масштабируемость;Scalability is essential.;Масштабируемость важна.
copy;копировать;Could I get a copy of these?;Могу ли я получить копию этого?
keyboard;клавиатура;This keyboard is perfect.;Эта клавиатура совершенна.
verify;проверить;Trust, but verify.;Доверяй, но проверяй!
screen;экран;The blue screen of death popped up on the screen.;На экране выскочил синий экран смерти.
commitment;обязательство;Marriage is a lifelong commitment.;Брак – это обязательство длиною в жизнь.
send;отправлять;Send it by mail.;Отправь это по почте.
scale;масштаб, шкала;What is the scale of this map?;Каков масштаб этой карты?
folder;папка;Which folder should I open?;Которую папку мне открыть?
WI-FI;беспроводное подключение к интернету, вай-фай;Do you know what the Wi-Fi password is?;Вы знаете пароль от Wi-Fi?
hotspot;точка доступа;Wi-Fi Hotspot.;Точка доступа Wi-Fi.
double-click;двойной щелчок мышью;Double-click the icon.;Дважды щёлкните по иконке.
meetup;неформальная встреча;Dribbble Meetups are a chance for designers to socialize;Митапы Дриббла это возможность для дизайнеров социализироваться.
operating system;операционная система;I never update my operating system.;Я никогда не обновляю операционную систему.
graphics card;видеокарта;The Graphics Card is responsible for rendering an image to your monitor.;Видеокарта ответственна за рендер изображения на ваш монитор.
default settings;настройки по умолчанию;Are you using the default settings?;Ты используешь настройки по умолчанию?
registered;зарегистрированный;All participants must be registered.;Все участники должны быть зарегистрированны.
vulnerability;уязвимость;System vulnerability.;Системная уязвимость.
share;поделиться;Share it with us.;Поделись этим с нами.
scalable;масштабируемый;Scalable solutions;Масштабируемые решения.
pixel;пиксель;My phone's screen has a broken pixel.;На экране моего телефона есть битый пиксель.
facilitator;фасилитатор, помощник;A facilitator is a person who helps a group of people to work together better.;Фасилитатор - человек, который помогает группе людей лучше работать вместе.
automatically;автоматически;It happens automatically.;Это происходит автоматически.
installer;установщик;Tom ran the game installer and waited for the game to finish installing.;Том запустил установку игры и ждал конца процесса.
validation;подтверждение, проверка;Data validation is the process of ensuring quality;Валидация данных - это процесс обеспечения их качества.
crowdsourcing;краудсорсинг;Kickstarter is one of the largest crowdfunding sites.;Кикстартер один из крупнейших краудсорсинговых сайтов.
e-book;электронная книга;Do you think that e-books will replace paper books?;Вы думаете, электронные книги заменят бумажные?
access;доступ;How can I access the printer?;Как мне получить доступ к принтеру?
playback;воспроизведение;Set playback speed.;Установите скорость воспроизведения.
modem;модем;You should reset the modem.;Вам следует перезагрузить модем.
default;по умолчанию;Are you using the default settings?;Ты используешь настройки по умолчанию?
window;окно;Close the window.;Закройте окно.
connection;соединение;He has a fast internet connection.;У него быстрое интернет-соединение.
account;профиль, личные данные пользователя;I do not have an account in these forums.;У меня нет учетной записи на этих форумах.
outsourcing;аутсорсинг;Outsourcing is the practice of hiring resources outside of an organization.;Aутсорсинг - это практика найма рабочих ресурсов за пределами организации.
web service;веб-сервис;Please specify the proxy class, which will used to call web service.;Укажите класс прокси, который будет использоваться для вызова веб-сервиса.
brainstorming;мозговой штурм;They had a brainstorming session.;Они провели мозговой штурм.
sample;образец;This is a free sample.;Это бесплатный образец.
launch;запускать, запуск;The satellite launch was broadcast live.;Запуск спутника транслировался в прямом эфире.
user manual;руководство пользователя;I don't need the user manual.;Мне не нужна инструкция.
bluetooth;блюту́с, технология беспроводного обмена данными;Bluetooth is not available on this device.;Блюту́с недоступин на данном устройстве.
network;сеть;We must not let them infiltrate our network.;Мы не должны позволить им проникнуть в нашу сеть.
sign up;зарегистрироваться на сайте;How do I sign up?;Как мне зарегистрироваться?
prototype;прототип;This is only a prototype.;Это всего лишь прототип.
permission;разрешение;Did you get permission to do that?;Ты получил на это разрешение?
delete;удалять;Can you delete my account?;Вы можете удалить мой аккаунт?
case-insensitive;без учета регистра клавиатуры;Logins are usually case-insensitive.;Логины обычно нечувствительны к регистру.
Random-access memory (RAM);Оперативное запоминающее устройство (ОЗУ), оперативная память;For local programs your computer needs about 512 MB RAM.;Для локальных программ вашему компьютеру требуется около 512 МБ ОЗУ.
user name;имя пользователя;Go on the page, insert your registered user name and password.;Перейдите на страницу, ввести имя пользователя и пароль.
platform;платформа;Nakido is a file sharing platform.;Nakido — платформа для обмена файлами.
server;сервер;The server is overloaded.;Сервер перегружен.
product;продукт;Where will this product be used?;Где будет использоваться этот продукт?
component;компонент;Discipline is the most important component of success.;Дисциплина — важнейшая составляющая успеха.
click;кликнуть;Click on the link.;Нажми на ссылку.
display;отображать, дисплей;She displayed her talents.;Она показала свои таланты.
directory;каталог, директория, папка;The configuration file for your database server is located in this directory.;Файл конфигурации твоего сервера базы данных находится в этом каталоге.
feedback;обратная связь;Thank you for the feedback.;Спасибо вам за обратную связь.
electronic;электронный;What electronic devices do you use the most?;Какими электронными устройствами вы чаще всего пользуетесь?
font;шрифт;I don't like this font.;Мне не нравится этот шрифт.
boot disk;загрузочный диск;You don't need to make a boot disk.;Вам не нужно создавать загрузочный диск.
device;устройство;What does this device do?;Что делает это устройство?
integration;интеграция;I am hired as a product integration engineer.;Меня наняли, как инженера по интеграции продукта.
give feedback;давать обратную связь;And you have to give feedback to nurses who work beneath you.;И ты должна давать обратную связь медсёстрам, подчиняющимся тебе.
warehouse;хранилище;Data warehouse.;Хранилище данных.
notebook;ноутбук;My notebook is pink.;Мой ноутбук — розового цвета.
application;приложение;Download and install the application.;Скачай и установи приложение.
bin;корзина;The bin is empty.;Корзина пуста.
toolbar;панель инструментов;Can you see the toolbar at the bottom of the screen?;Вы видите панель инструментов внизу экрана?
data storage;хранилище данных;Cannot create data storage because access is denied.;Не удается создать хранилище данных из-за отказа в доступе.
accept;принимать;We will accept your conditions.;Мы примем ваши условия.
subscribe;подписываться;Subscribe to our YouTube channel.;Подписывайтесь на наш канал на Ютубе.
power;мощность, энергия;Power saving mode.;Режим энергосбережения.
hard disk;жёсткий диск;The hard disk was completely destroyed.;Жёсткий диск был полностью повреждён.
printer;принтер;The printer needs paper.;В принтер нужно вставить бумагу.
binary;двоичный;There are 10 types of people in the world: those who understand binary, and those who don't.;В мире есть 10 типов людей: те, которые понимают двоичную систему счисления, и те, которые нет.
ensure;обеспечивать, гарантировать;This medicine will ensure you a good night's sleep.;Это лекарство обеспечит Вам крепкий ночной сон.
e-mail;электронная почта, электронное письмо;For some reason I couldn't access my e-mail.;По некоторой причине я не мог войти в свою электронную почту.
system administrator;системный администратор;Please try again or consult your system administrator.;Пожалуйста, повторите попытку или обратитесь за помощью к своему системному администратору.
resolution;разрешение;Screen resolution.;Разрешение экрана.
cancel;отменить;I had to cancel the meeting.;Мне пришлось отменить собрание.
scanner;сканнер;I have to buy a new scanner.;Мне надо купить новый сканер.
digital;цифровой, электронный;All of my books are digital.;У меня все книги в электронном виде.
antivirus software;антивирусные программы;What antivirus are you using?;Каким антивирусом вы пользуетесь?
backup;резервная копия;A database backup.;Резервная копия базы данных.
software development engineer;инженер по разработке программного обеспечения;Irina is a software engineer now.;Ирина сейчас программист.
flash card;флеш-карта;Have you seen my flash card?;Ты не видел мою флеш карту?
distribution;распределение, дистрибутив;Ubuntu is a popular Linux distribution.;Ubuntu — популярный дистрибутив Linux.
release;релиз;Each iteration lasts about 1-2 months, followed by a new release.;Каждая итерация длится приблизительно 1-2 месяца, после чего выпускается релиз.
gigabyte;гигабайт;I suppose then an 8-Gigabyte hard drive will be adequate.;Я думаю, 8-гигабайтного жёсткого диска будет достаточно.
video card;видеокарта;You will need a video card to play this game.;Тебе понадобится видеокарта, чтобы играть в эту игру.
mentor;наставник;Failure is the best mentor.;Неудачи – это наилучший наставник.
virtual memory;виртуальная память;Virtual memory is a memory management technique.;Виртуальная память - это метод управления памятью.
B2B (business-to-business);бизнес для бизнеса;B2B (business-to-business) is the exchange of products between businesses, rather than between businesses and consumers (B2C);B2B это обмен продуктами между бизнесами, а не бизнесами и потребителями (B2C).
output;выход;Cannot create the output file.;Не удалось создать выходной файл.
iteration;итерация;Each iteration lasts about 1-2 months, followed by a new release.;Каждая итерация длится приблизительно 1-2 месяца, после чего выпускается релиз.
format;формат, форматировать;You should not format this diskette.;Вы не должны форматировать эту дискету.
megabyte;мегабайт;The file is weighing 7 megabytes.;Файл весит 7 мегабайт.
program;программа;The program was programmed by programmers.;Программа была запрограммирована программистами.
spam;спам;Spam is annoying.;Спам раздражает.
technology;технология;Technology is just a tool.;Технологии — это лишь инструмент.
responsive;отзывчивый;Responsive user interface.;Отзывчивый пользовательский интерфейс.
virus;вирус;The computer has a virus.;В компьютере вирус.
motherboard;материнская плата;There's no COM port on this motherboard.;На этой материнке нет COM-порта.
link;ссылка;Click on the link.;Нажми на ссылку.
underline;подчёркивать;Underline all the verbs in the future tense in this text.;Подчеркните все глаголы будущего времени в этом тексте.
catalog;каталог;Send me a new catalog.;Отправь мне новый каталог.
paste;вставить;Paste the link.;Вставьте ссылку.
