be;быть;Be happy!;Будь счастлив!
through;посредством, через, насквозь;Breathe through your nose.;Дыши через нос.
mean;иметь в виду, средний, подлый;It doesn't mean anything!;Это ничего не значит.
after;после, за, вслед за;Repeat after me.;Повторяйте за мной.
never;никогда;Never say never.;Никогда не говори никогда.
world;мир;Hello, world!;Здравствуй, мир!
feel;чувствовать;I feel happy.;Я чувствую себя счастливым.
great;великолепный ;Tom felt great.;Том чувствовал себя великолепно.
last;последний, длиться;Hope dies last.;Надежда умирает последней.
child;ребёнок;Any child knows that.;Это любой ребёнок знает.
over;больше, над, повсюду;Hands over your head.;И руки над головой.
ask;спрашивать;Don't ask me. Ask her.;Не спрашивай меня. Спроси её.
school;школа;Tom skipped school.;Том пропустил школу.
state;состояние, государство, штат, государственный, заявлять, формулировать;Germany is a federal state.;Германия - федеративное государство.
much;много;The old songs were much, much better.;Старые песни были намного, намного лучше.
talk;разговаривать;Act. Don't talk.;Делай. Не говори.
keep;держать, хранить, продолжать;Keep working.;Продолжай работать.
leave;оставлять, уходить;Everybody leave.;Всем выйти.
put;класть, ставить;Put it there.;Положи это туда.
help;помощь;Help me help you.;Помогите мне помочь вам.
big;большой;Russia is big.;Россия большая.
where;где;Where are you?;Где ты?
same;тот же самый, одинаковый;We're the same age.;Мы одинакового возраста.
own;владеть, собственный;I own a yacht.;Я владею яхтой.
while;в то время, тогда как;Eat while it's warm.;Ешь, пока тёплое.
start;начинать;Start over.;Начинай сначала.
three;три;Three hours passed.;Прошло три часа.
high;высокий;Danger! High voltage.;Опасно! Высокое напряжение.
every;каждый;Exercise every day.;Тренируйтесь каждый день.
another;ещё один;Have another cookie.;Возьми ещё одно печенье.
become;становиться;We've become good friends.;Мы стали хорошими друзьями.
most;наиболее, больше всего, большинство;Most people agree.;Большинство людей согласно.
between;между;Read between the lines.;Читайте между строк.
happen;случаться;Nothing will happen.;Ничего не случится.
family;семья;We're practically family.;Мы практически семья.
president;президент, директор, председатель;They demanded that President resign.;Они потребовали, чтобы президент подал в отставку.
old;старый;We're old friends.;Мы старые друзья.
yes;да;Yes, mistress.;Да, госпожа.
house;дом;My house is your house.;Мой дом - твой дом.
show;показывать;Show your cards.;Покажи свои карты.
again;ещё раз, снова;Sorry again!;Ещё раз простите!
student;студент;She's my student.;Она моя студентка.
seem;казаться;You seem happy.;Ты кажешся счастливым.
might;мог, мощь;This might work.;Это может сработать.
part;часть;I love this part.;Эта часть мне нравится.
hear;слышать;I hear music.;Я слышу музыку.
place;место;Take your place.;Займи своё место.
problem;проблема;Problem solved!;Проблема решена!
believe;верить, полагать;I can't believe I believed him.;Не могу поверить, что я ему поверил.
country;страна;Leave this country.;Уезжайте из этой страны.
always;всегда;He's always busy.;Он всегда занят.
week;неделя;See you next week!;Увидимся на следующей неделе!
point;указывать, точка, суть;Don't point at others.;Не показывай на других.
hand;рука;Shake my hand.;Пожми мне руку.
off;прочь, вдали, выключенный;Hands off.;Руки прочь.
play;играть;Let's play soccer.;Давайте поиграем в футбол.
turn;поворачивать, очередь;Turn left here.;Поверните здесь налево.
few;несколько, мало;Few tourists come here.;Сюда приезжает мало туристов.
group;группа;The whole group is laughing.;Вся группа смеётся.
such;такой;Such a wonderful music!;Такая красивая музыка!
against;против;I'm against corruption.;Я против коррупции.
run;бежать;Run fast!;Беги быстро!
guy;парень;You're a good guy.;Ты хороший парень.
case;случай, корпус, регистр, чемодан;State your case briefly.;Кратко изложите ваш случай.
question;вопрос;Answer the question.;Ответь на вопрос.
night;ночь;Good night!;Доброй ночи.
live;жить, живой;Live and fight!;Живи и борись!
game;игра;Game over.;Конец игры.
number;число, количество;You are number one!;Ты - номер один!
write;писать;Write a report.;Напишите отчет.
bring;приносить, приводить;Bring tea immediately!;Немедленно принеси чай!
without;без;Without a doubt!;Без сомнения!
money;деньги;Time is money.;Время - деньги.
lot;много, лот;I want a lot.;Мне надо много.
book;книга, бронировать;Read this book.;Прочитай эту книгу.
system;система;The system is rotten.;Система прогнила.
government;правительство;This government is corrupt.;Правительство коррумпировано.
next;следующий;Maybe next time!;Может быть, в следующий раз!
city;город;What a beautiful city!;Какой прекрасный город!
company;компания;He founded the company.;Он основал компанию.
story;рассказ, история;The story continues.;История продолжается.
today;сегодня;I'm free today.;Я сегодня свободен.
job;работа;Finish the job.;Закончи работу.
move;двигать, движение;Don't move, please.;Пожалуйста, не двигайтесь.
must;должен;We must act.;Мы должны действовать.
bad;плохой;This is bad.;Это плохо.
friend;друг;My dear friend!;Мой дорогой друг!
during;в течение, во время;They talked during the movie.;Во время фильма они разговаривали.
begin;начинать;Calm down and begin at the beginning.;Успокойся и начни с начала.
