love;любить, любовь;I love you.;Я тебя люблю.
hope;надеяться, надежда, надежда;Hope dies last.;Надежда умирает последней.
true;верный, правильный;That's not true.;Это неправда.
process;процесс, обрабатывать;The process can take years.;Процесс может занять годы.
teacher;учитель;Our teacher seldom laughs.;Наш учитель редко смеётся.
data;данные;Data were restored.;Данные были восстановлены.
offer;предлагать;I'll accept your offer.;Я приму ваше предложение.
death;смерть;Victory, or death!;Победа или смерть!
whole;весь, целый;The whole world speaks English.;Весь мир говорит на английском.
experience;опыт, испытывать;People learn from experience.;Люди учатся на опыте.
plan;план, планировать;Your plan worked.;Твой план сработал.
easy;лёгкий;It's too easy.;Это слишком легко.
education;образование;Education is really important.;Образование очень важно.
build;строить;Birds build nests.;Птицы вьют гнезда.
expect;ожидать;Don't expect miracles.;Не ожидай чудес.
fall;упасть, осень;Don't let him fall.;Не дайте ему упасть.
himself;себя;Tom corrected himself.;Том поправил себя.
age;возраст ;Music has no age.;У музыки нет возраста.
hard;трудный;Iron is hard.;Железо - твёрдое.
sense;чувство, смысл;He lacks common sense.;Ему не хватает здравого смысла.
across;сквозь, через;It's across the street.;Это на другой стороне улицы.
early;ранний;Come home early.;Приходи домой пораньше.
college;колледж;He studies history at college.;Он изучает историю в колледже.
music;музыка;Composers create music.;Композиторы сочиняют музыку.
appear;показываться;The stars were beginning to appear.;Звёзды начали появляться.
mind;разум;Mind your manners.;Следи за своими манерами.
class;класс;My class was cancelled.;Моё занятие отменили.
police;полиция;Call the police!;Вызовите полицию!
effect;эффект;The effect was immediate.;Эффект был немедленным.
season;сезон, время года;It's flu season.;Сейчас сезон гриппа.
tax;налог, облагать налогом;The government makes us pay tax.;Правительство заставляет нас платить налог.
heart;сердце;Follow your heart.;Следуй за своим сердцем.
son;сын;Calm down, son.;Успокойся, сынок.
art;искусство;Tom appreciates modern art.;Том ценит современное искусство.
possible;вероятный;It's theoretically possible.;Теоретически это возможно.
serve;служить;I serve no one.;Я никому не служу.
break;ломать, нарушать;Don't break anything.;Не сломай ничего.
although;хотя, несмотря на то что;Although it was very late, he kept working.;Несмотря на то что было очень поздно, он продолжил работу.
